AccountName,SF Match Name,SF Match Score,DeploymentAccountID,SF Account ID
Bidest Noonan,NOA NEWS LIMITED,55,001500000184qDIAAY,001500000184qDIAAY
Three Ireland (Hutchison) Limited,Three Ireland (Hutchison) Limited,100,0015000000qG2wOAAS,0015000000qG2wOAAS
Lloylds Pharmacy,Allcare Pharmacy,69,0015000001J5LhHAAV,0015000001J5LhHAAV
PWC ,Empower,40,0012J00002Q3V0sQAF,0012J00002Q3V0sQAF
United Drug,Dublin Unified,64,0015000001YBYNLAA5,0015000001YBYNLAA5
"Department of Agriculture, Food and the Marine","Department of Agriculture, Fisheries, and Food",76,0015000001Fk94MAAR,0015000000ylFT0AAM
"Department of Children, Equality, Disability, Integration and Youth",DEPARTMENT OF CHILDREN AND YOUTH AFFAIRS,62,0015000001Fk94MAAR,0015000001TmeOiAAJ
Department of Defence,DEPARTMENT OF DEFENCE,100,0015000001Fk94MAAR,0015000001QlZzEAAV
Department of Education,Department for Education,94,0015000001J4erVAAR,0015000001J4erVAAR
"Department of Enterprise, Trade and Employment",DEPARTMENT OF EMPLOYMENT AND LEARNING,78,0015000001NXNspAAH,0015000001NXNspAAH
Department of Finance,Department Of Finance & Personnel,81,0015000001NXNphAAH,0015000001NXNphAAH
Department of Foreign Affairs,DEPARTMENT OF FOREIGN AFFAIRS AND TRADES,84,0015000001Fk94MAAR,0015000001Fk94MAAR
"Department of Further and Higher Education, Research, Innovation and Science","Department of Jobs, Enterprise and Innovation",63,0015000001Fk94MAAR,0015000001DiVcCAAV
Department of Health,THE DEPARTMENT OF HEALTH,91,0015000001Fk94MAAR,00150000014VatpAAC
"Department of Housing, Local Government and Heritage","Department of Environment, Community and Local Government",67,0015000001DiWklAAF,0015000001DiWklAAF
Department of Justice,Department of Justice & Equality,82,0015000001Fk94MAAR,00150000018tNCNAA2
Department of Public Expenditure and Reform,Department of Public Expenditure and Reform,100,00150000010MXd7AAG,00150000010MXd7AAG
Department of Rural and Community Development,Department of Rural and Community Development,100,0015000001Fk94MAAR,0012J00002QMrHLQA1
Department of Social Protection,Department of Social Protection,100,00150000015vgeCAAQ,00150000015vgeCAAQ
"Department of the Environment, Climate and Communications","Department of Communications, Energy and Natural Resources",71,0015000001Fk94MAAR,0015000000xwj8aAAA
Department of the Taoiseach,THE DEPARTMENT OF HEALTH,71,0015000001Fk94MAAR,00150000014VatpAAC
"Department of Tourism, Culture, Arts, Gaeltacht, Sport and Media","Department of Transport, Tourism and Sport",61,0015000001DiVcbAAF,0015000001DiVcbAAF
Department of Transport,"Department of Transport, Tourism and Sport",72,0015000001DiVcbAAF,0015000001DiVcbAAF
Carlow County Council,CORK COUNTY COUNCIL,85,0012J00002QkFggQAF,0012J00002QkFggQAF
Cavan County Council,CORK COUNTY COUNCIL,82,0012J00002QkFggQAF,0012J00002QkFggQAF
Clare County Council,CORK COUNTY COUNCIL,87,0012J00002QkFggQAF,0012J00002QkFggQAF
Cork City Council,Cork City Council,100,001500000185mR8AAI,001500000185mR8AAI
Cork County Council,CORK COUNTY COUNCIL,100,0012J00002QkFggQAF,0012J00002QkFggQAF
Donegal County Council,Kerry County Council,76,001500000133CJrAAM,001500000133CJrAAM
Dublin City Council,Dublin City Council,100,001500000185mQtAAI,001500000185mQtAAI
Dún Laoghaire–Rathdown County Council,Kilkenny County Council,61,0012J00002WP6OpQAL,0012J00002WP6OpQAL
Fingal County Council,Kilkenny County Council,77,0012J00002WP6OpQAL,0012J00002WP6OpQAL
Galway City Council,Dublin City Council,74,001500000185mQtAAI,001500000185mQtAAI
Galway County Council,Kerry County Council,78,001500000133CJrAAM,001500000133CJrAAM
Kerry County Council,Kerry County Council,100,001500000133CJrAAM,001500000133CJrAAM
Kildare County Council,Kilkenny County Council,84,0012J00002WP6OpQAL,0012J00002WP6OpQAL
Kilkenny County Council,Kilkenny County Council,100,0012J00002WP6OpQAL,0012J00002WP6OpQAL
Laois County Council,Kerry County Council,75,001500000133CJrAAM,001500000133CJrAAM
Leitrim County Council,Kerry County Council,81,001500000133CJrAAM,001500000133CJrAAM
Limerick City and County Council,Kerry County Council,65,001500000133CJrAAM,001500000133CJrAAM
Longford County Council,Kilkenny County Council,74,0012J00002WP6OpQAL,0012J00002WP6OpQAL
Louth County Council,Kerry County Council,75,001500000133CJrAAM,001500000133CJrAAM
Mayo County Council,Kerry County Council,82,001500000133CJrAAM,001500000133CJrAAM
Meath County Council,Kerry County Council,80,001500000133CJrAAM,001500000133CJrAAM
Monaghan County Council,Kilkenny County Council,74,0012J00002WP6OpQAL,0012J00002WP6OpQAL
Offaly County Council,Kerry County Council,78,001500000133CJrAAM,001500000133CJrAAM
Roscommon County Council,Kerry County Council,73,001500000133CJrAAM,001500000133CJrAAM
Sligo County Council,Kerry County Council,75,001500000133CJrAAM,001500000133CJrAAM
South Dublin County Council,Dublin Simon Community,69,00150000016xfKkAAI,00150000016xfKkAAI
Tipperary County Council,Kerry County Council,86,001500000133CJrAAM,001500000133CJrAAM
Waterford City and County Council,Kerry County Council,68,001500000133CJrAAM,001500000133CJrAAM
Westmeath County Council,Kerry County Council,73,001500000133CJrAAM,001500000133CJrAAM
Wexford County Council,Kerry County Council,81,001500000133CJrAAM,001500000133CJrAAM
Wicklow County Council,Kilkenny County Council,76,0012J00002WP6OpQAL,0012J00002WP6OpQAL
Dept Of Agriculture,Agricultural Trust,65,0015000001Hl7nMAAR,0015000001Hl7nMAAR
Solas,Soluxr,55,0012J00002LaxQSQAZ,0012J00002LaxQSQAZ
Aryzta,Caretrade,53,0015000001F8dKkAAJ,0015000001F8dKkAAJ
Dept Finance,Better Finances,74,0012J00002Qk5JuQAJ,0012J00002Qk5JuQAJ
Anord Control Systems Ltd,ADVANCED MANUFACTURING CONTROL SYSTEMS LIMITED,65,00150000010MdeqAAC,00150000010MdeqAAC
